Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Chicken Tinola,4.7,4,50 mins,"['1 tablespoon cooking oil', '1 medium onion, chopped', '2 cloves garlic, minced', '1 (1 ½ inch) piece fresh ginger, peeled and thinly sliced', '1 tablespoon fish sauce', '3 pounds chicken legs and thighs', '2 (14 ounce) cans chicken broth', '1  chayote squash, peeled and cut into bite-sized pieces', 'salt and ground black pepper to taste', '1 head bok choy, chopped', '1 (8 ounce) package fresh spinach, chopped']","Tinola is an easy, one-pot soup from the Philippines. Chicken, chayote squash (or green papaya), bok choy, and spinach are simmered with fresh ginger in a savory broth that's delicious served with hot white rice.","['Gather all ingredients.', 'Heat oil in a large pot over medium heat. Add onion and garlic; cook and stir until fragrant, about 2 minutes.', 'Add ginger and fish sauce; cook and stir for 1 to 2 minutes. Stir in chicken and cook for 5 minutes.', 'Pour in chicken broth and cook for 5 minutes. Add squash and simmer until chicken is no longer pink in the center, about 10 minutes. Season with salt and pepper.', 'Add bok choy and spinach; cook until spinach is just wilted, 1 to 2 minutes. Serve hot.', 'Enjoy!']","{'Calories': '532', 'Fat': '23g', 'Carbs': '14g', 'Protein': '66g'}"
Chicken Arroz Caldo (Chicken Rice Porridge),4.8,5,40 mins,"['2 tablespoons olive oil', '1  onion, diced', '2 cloves garlic, crushed', '1 (2 inch) piece fresh ginger, peeled and thinly sliced', '2 ¼ pounds chicken wings, split and tips discarded', '1 tablespoon fish sauce (Optional)', '5 ¼ cups chicken broth', '1 cup glutinous sweet rice', 'salt and pepper to taste', '1  green onion, chopped', '1  lemon, sliced (Optional)', '1 teaspoon fish sauce for sprinkling, if desired (Optional)']",Arroz caldo is a comforting and flavorsome Filipino rice and chicken soup served mainly as a snack but can be enjoyed any time of the day.,"['Gather all ingredients.', 'Heat oil in a large pot over medium heat. Cook and stir onion, garlic, and ginger in hot oil until fragrant, about 5 minutes.', 'Add chicken wings; cook and stir for 1 minute. Stir in fish sauce, cover, and cook another 2 minutes.', 'Pour chicken broth into the pot. Stir in sweet rice and bring mixture to a boil. Cover and cook for 10 minutes, stirring occasionally to prevent rice from sticking to the bottom of the pot.', 'Season with salt and pepper. Portion soup into bowls and garnish with green onion.', 'Serve with lemon slices and additional fish sauce, if desired.']","{'Calories': '294', 'Fat': '15g', 'Carbs': '25g', 'Protein': '16g'}"
Aloha Chicken Burgers,4.6,2,1 hr 15 mins,"['2  skinless, boneless chicken breast halves', '¼ cup soy sauce', '3 slices thick cut bacon', '2  large hamburger buns, split', '1 tablespoon softened butter', '¼ cup teriyaki sauce', '2 slices Swiss cheese', '2 tablespoons mayonnaise', '2 slices pineapple', '2 slices tomato', '2  slices of iceberg lettuce']",These tasty Hawaiian chicken burgers are like a luau on a bun!,"['Place chicken breasts into a plastic zipper bag with soy sauce, seal the bag, and marinate in refrigerator for 30 minutes. While chicken is marinating, place bacon in a large, deep skillet, and cook over medium-high heat, occasionally turning until evenly browned, about 10 minutes. Drain bacon slices on a paper towel-lined plate, and set aside. Spread cut sides of hamburger buns with butter.', 'Preheat an outdoor grill for medium heat and lightly oil the grate.', 'Remove chicken from soy sauce, and discard excess soy sauce. Place chicken breasts onto the preheated grill, and grill until chicken shows good grill marks, is no longer pink inside, and juices run clear, 4 to 5 minutes per side. When chicken is almost done, brush each piece generously on both sides with teriyaki sauce to finish grilling. Place a slice of Swiss cheese on each chicken breast, and cover with a lid to help cheese melt onto chicken.', 'While chicken is grilling, spread buns open on the grill and cook until toasted and showing grill lines, about 2 minutes. Set buns aside.', 'To assemble, spread grilled sides of each bun with mayonnaise, and top each bottom bun with a cooked chicken breast, 1 1/2 slices of bacon, a slice of pineapple, a slice from a head of lettuce, a slice of tomato, and top bun.']","{'Calories': '668', 'Fat': '35g', 'Carbs': '41g', 'Protein': '46g'}"
Baked Beer Can Chicken,4.6,4,1 hr 40 mins,"['¼ cup garlic powder', '2 tablespoons seasoned salt', '2 tablespoons onion powder', '1 tablespoon dried oregano', '1 tablespoon salt', '1 ½ teaspoons ground black pepper', '1 (12 fluid ounce) can light-flavored beer (such as Bud Light)', '1 (3 pound) whole chicken', '4  green onions, sliced', '4  green onions, cut in half crosswise', '1 (12 fluid ounce) can light-flavored beer (such as Bud Light)']",Beer can chicken in the oven is so easy to prepare and cook. It always turns out juicy and tender with a delicious flavor. If you are tired of the same old boring chicken — try this recipe! It's a dinner our whole family loves.,"['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).', 'Mix garlic powder, seasoned salt, onion powder, dried oregano, salt, and pepper in a small bowl; set aside.', 'Pour 1/3 of one can of beer into the bottom of a 9x13-inch baking dish. Place the open beer can in the center of the baking dish.', 'Rinse chicken under cold running water. Discard giblets and neck from chicken; drain and pat dry. Fit whole chicken over the open beer can with the legs on the bottom.', 'With the chicken breasts facing you, use a paring knife to cut a small slit on each side. Press the tip of each wing into the slit to encourage even cooking.', 'Rub the reserved seasoning mixture to taste over entire chicken.', ""Pat green onion slices evenly onto the chicken; it's okay if some fall off. Press green onion halves into the top cavity of the chicken. Open the second beer can and pour 1/2 of it into the pan; set the remaining beer aside to use during baking."", 'Bake chicken in the preheated oven for 45 minutes. Pour the remaining beer into the pan under the chicken and continue baking until no longer pink at the bone and the juices run clear, about 30 additional minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 180 degrees F (82 degrees C).', 'Remove from the oven and discard the beer can. Cover chicken with a doubled sheet of aluminum foil.', 'Let rest in a warm area for 10 minutes before slicing.']","{'Calories': '564', 'Fat': '26g', 'Carbs': '20g', 'Protein': '49g'}"
Beer Can Chicken,4.5,4,1 hr 30 mins,"['⅓ cup brown sugar', '2 tablespoons chili powder', '2 tablespoons paprika', '2 teaspoons dry mustard', '½ teaspoon salt', '¼ teaspoon ground black pepper', '½ (12 fluid ounce) can beer', '1 (3 pound) whole chicken']",This beer can-chicken recipe produces deliciously moist chicken. It's perfect for a BBQ on a hot summer day. The other half of the can of beer is for the cook to enjoy while preparing dinner!,"['Preheat an outdoor grill for medium-high heat, about 375 degrees F (190 degrees C).', 'Mix brown sugar, chili powder, paprika, dry mustard, salt, and black pepper in a small bowl. Place half-full can of beer in the center of a plate.', 'Rinse chicken under cold running water. Discard giblets and neck from chicken; drain and pat dry. Fit whole chicken over the can of beer with the legs on the bottom; keep upright. Sprinkle 1 teaspoon of seasoning mix into the top cavity of chicken. Beer may foam up when seasonings fall inside the can. Rub remaining seasoning mix over entire surface of chicken.', 'Place chicken, standing on the can, directly on the preheated grill. Close the lid and cook chicken until no longer pink at the bone and the juices run clear, about 1 hour 15 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C).', 'Remove chicken from the grill and discard beer can. Cover chicken with a doubled sheet of aluminum foil, and allow to rest in a warm area for 10 minutes before slicing.']","{'Calories': '546', 'Fat': '27g', 'Carbs': '24g', 'Protein': '48g'}"
Chicken Quesadillas,4.6,10,45 mins,"['1 pound skinless, boneless chicken breast, diced', '1 (1.27 ounce) packet fajita seasoning', '1 tablespoon vegetable oil', '2  green bell peppers, chopped', '2  red bell peppers, chopped', '1  onion, chopped', '10 (10 inch) flour tortillas', '1 (8 ounce) package shredded Cheddar cheese', '1 (8 ounce) package shredded Monterey Jack cheese', '1 tablespoon bacon bits']","This chicken quesadilla recipe is great to make for parties. Zesty chicken, cooked peppers, and melted cheese are a delightful combination. Cut into wedges and serve with sour cream and salsa.","['Gather ingredients, preheat the broiler, and lightly grease a baking sheet.', 'Toss chicken with fajita seasoning, then spread onto the prepared baking sheet. Place under the broiler and cook until chicken is cooked through and no longer pink in the center, about 5 minutes.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Heat oil in a large saucepan over medium heat. Stir in bell peppers, onion, and broiled chicken. Cook and stir until vegetables have softened, about 10 minutes.', 'Layer half of each tortilla with chicken and vegetable mixture, Cheddar cheese, Monterey Jack cheese, and bacon bits.', 'Fold tortillas in half and place onto a baking sheet.', 'Bake quesadillas in the preheated oven until cheeses have melted, about 10 minutes. Cut each quesadilla into wedges.', 'Serve with sides of salsa and sour cream. Enjoy!']","{'Calories': '472', 'Fat': '22g', 'Carbs': '40g', 'Protein': '28g'}"
Homemade Chicken Gravy,4.7,8,30 mins,"['½ cup unsalted butter', '½ cup all-purpose flour', '1 quart cold chicken stock, or more if needed', '⅓ cup heavy cream', 'salt and ground white pepper to taste', '1 pinch cayenne pepper']",This chicken gravy made with high-quality chicken stock and heavy cream starts with a basic blonde roux. Skip the powdered packets of gravy mix and make homemade chicken gravy from scratch. Serve over fried chicken and mashed potatoes.,"['Melt butter in a saucepan over medium-low heat. Gradually whisk in flour, reduce heat to low, and stir until the roux has turned golden and smells like a cooked pie crust, 10 to 12 minutes.', 'Whisk in about 2 cups of cold stock, a little at a time, stirring to remove any lumps. Add remaining 2 cups stock.', 'Cook, stirring occasionally, until gravy is thick enough to coat the back of a spoon, 10 to 15 minutes.', 'Stir in heavy cream, and season with salt, white pepper, and cayenne. Taste and if the gravy still tastes starchy, let it simmer a little longer, adding more cold stock if necessary.', 'Serve hot and enjoy!']","{'Calories': '170', 'Fat': '16g', 'Carbs': '7g', 'Protein': '1g'}"
Chef John's Buttermilk Fried Chicken,4.5,4,6 hrs 50 mins,"['1 (3 1/2) pound chicken, cut into 8 pieces', '1 teaspoon black pepper', '1 teaspoon salt', '1 teaspoon paprika', '½ teaspoon white pepper', '¼ teaspoon dried rosemary', '¼ teaspoon ground thyme', '¼ teaspoon dried oregano', '¼ teaspoon dried sage', '¼ teaspoon cayenne pepper', '2 cups buttermilk', '2 cups flour', '1 teaspoon salt', '½ teaspoon paprika', '½ teaspoon cayenne pepper', '½ teaspoon garlic powder', '½ teaspoon white pepper', '½ teaspoon onion powder', '2 ½ quarts peanut oil for frying']","Buttermilk fried chicken that's incredibly tender, thanks to tangy buttermilk. After the buttermilk soak, dredge the chicken pieces in seasoned flour and fry them in hot oil until crisp and golden.","['Gather all ingredients.', 'Toss chicken pieces, black pepper, salt, paprika, white pepper, rosemary, thyme, oregano, sage, and cayenne together in a large bowl.', 'Stir in buttermilk until chicken is evenly coated. Cover and refrigerate for 6 hours.', 'Combine flour, salt, paprika, cayenne, garlic powder, white pepper, and onion powder in a large shallow dish.', 'Remove chicken from buttermilk and dredge each piece in seasoned flour; shake off any excess and transfer to a plate.', 'Heat peanut oil in a large Dutch oven to 350 degrees F (175 degrees C).', 'Add chicken pieces to the hot oil and fry for 10 minutes. Turn chicken pieces and fry for another 10 to 15 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).', 'Transfer fried chicken to a cooling rack set over a paper towel-lined baking sheet. Let sit for 10 minutes before serving.', 'Enjoy!']","{'Calories': '1262', 'Fat': '85g', 'Carbs': '56g', 'Protein': '66g'}"
Prosciutto-Wrapped Cherry-Stuffed Chicken Breasts,4.6,2,55 mins,"['1 tablespoon vegetable oil', '⅓ cup dried cherries, chopped', '¼ cup plain bread crumbs', '1 large egg yolk', '2 teaspoons olive oil', '2 cloves garlic, minced', '1 ½ tablespoons finely grated Parmigiano-Reggiano cheese', '1 teaspoon fresh thyme', '1 teaspoon fresh oregano, minced', 'salt and pepper to taste', '1 pinch cayenne pepper', '2 (6 ounce) skinless, boneless chicken breast halves', '4 thin slices  prosciutto', '¾ cup chicken broth', '1 ½ tablespoons balsamic vinegar', '1 tablespoon butter']","This stuffed, prosciutto-wrapped chicken breast has everything you want in a Valentine's Day entrée. It looks fancy, tastes amazing, and contains dried cherries, a known aphrodisiac.","['Preheat the oven to 400 degrees F (200 degrees C). Brush the inside of an ovenproof skillet with vegetable oil. Set aside.', 'Mix together cherries, bread crumbs, egg yolk, olive oil, garlic, Parmigiano-Reggiano cheese, thyme, oregano, salt, black pepper, and cayenne pepper in a large bowl until stuffing is combined.', 'Cut a 1-inch slit in each chicken breast by slicing at an angle from the thick end of the breast toward the thinner end.', 'Open flap and place one butterflied chicken breast between 2 sheets of heavy plastic (resealable freezer bags work well, too) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2 inch. Repeat with the other breast.', 'Place each breast on a piece of plastic wrap, divide stuffing evenly between each breast, and roll into a tight roll, twisting the ends of the plastic wrap to create a tight package.', 'On a piece of plastic wrap, slightly overlap 2 slices prosciutto so they are as wide as the rolled chicken breast. Unwrap rolled chicken breast and place breast at one end of prosciutto. Roll prosciutto around stuffed breast using the plastic to make a tight roll. Repeat with second stuffed breast and remaining 2 slices prosciutto.', 'Lay 4 pieces of string on a cutting board, about 1-inch apart. Place a chicken roll across the strings and tie each into a knot to keep chicken from unrolling. Repeat with second stuffed breast.', 'Place stuffed, rolled chicken breasts in the prepared skillet and bake in the preheated oven until prosciutto is browned and crispy and chicken is no longer pink, about 25 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove chicken to a plate and loosely cover with aluminum foil.', 'Drain grease from the skillet as desired, leaving juice and browned bits. Pour in chicken broth and balsamic vinegar; bring to a boil. Cook, scraping the browned bits from the bottom of the pan, until liquid is reduced by half, 5 to 6 minutes. Remove from heat, add butter, and stir until melted. Season with salt and black pepper.', 'Remove the twine from chicken; slice into bite-sized pieces. Serve drizzled with sauce.']","{'Calories': '583', 'Fat': '30g', 'Carbs': '31g', 'Protein': '44g'}"
Chicken Milanese,4.7,4,30 mins,"['2 large eggs', 'kosher salt and ground black pepper to taste', '¾ cup all-purpose flour', '1 cup Italian seasoned bread crumbs', '2  skinless, boneless chicken breast halves, thinly sliced', '¼ cup vegetable oil for frying', '1  lemon, cut into wedges']","I made this chicken Milanese after I couldn't find a recipe that would work with pasta. It's crispy, quick to make, and delicious!","['Gather all ingredients. Preheat the oven to 200 degrees F (95 degrees C).', 'Beat eggs with salt and pepper in a shallow dish. Spread flour in another dish and bread crumbs in a third dish.', 'Working with one piece at a time, gently press chicken into flour to coat and shake off any excess. Dip into beaten eggs, then press into bread crumbs. Gently toss between your hands so excess bread crumbs can fall away. Place breaded chicken onto a plate while breading the rest; do not stack.', 'Heat vegetable oil in a large skillet over medium heat. Pan-fry chicken in batches of 2 or 3 pieces until golden brown and no longer pink in the center, 2 to 4 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer cooked chicken to a baking sheet and keep warm in the preheated oven while cooking remaining chicken.', 'Serve with lemon wedges.', 'Enjoy!']","{'Calories': '322', 'Fat': '8g', 'Carbs': '39g', 'Protein': '23g'}"
Chicken Parmesan,4.8,4,45 mins,"['4  skinless, boneless chicken breast halves', 'salt and freshly ground black pepper to taste', '2 large eggs', '1 cup panko bread crumbs, or more as needed', '¾ cup grated Parmesan cheese, divided', '2 tablespoons all-purpose flour, or more if needed', '½ cup olive oil for frying, or as needed', '½ cup prepared tomato sauce', '¼ cup fresh mozzarella, cut into small cubes', '¼ cup chopped fresh basil', '½ cup grated provolone cheese', '2 teaspoons olive oil']","My version of chicken Parmesan is a little different than what they do in the restaurants, with less sauce and a crispier crust.","['Gather the ingredients. Preheat an oven to 450 degrees F (230 degrees C).', 'Place chicken breasts between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2-inch.', 'Season chicken thoroughly with salt and pepper. Using a sifter or strainer; sprinkle flour over chicken breasts, evenly coating both sides', 'Beat eggs in a shallow bowl and set aside. Mix bread crumbs and 1/2 cup Parmesan cheese in a separate bowl, set aside. Dip a flour-coated chicken breast in beaten eggs. Transfer breast to the bread crumb mixture, pressing crumbs into both sides. Repeat for each breast. Let chicken rest for 10 to 15 minutes.', 'Heat 1/2 inch olive oil in a large skillet on medium-high heat until it begins to shimmer. Cook chicken in the hot oil until golden, about 2 minutes per side. The chicken will finish cooking in the oven.', 'Transfer chicken to a baking dish. Top each breast with 2 tablespoons tomato sauce. Layer each chicken breast with equal amounts of mozzarella cheese, fresh basil, and provolone cheese. Sprinkle remaining Parmesan over top and drizzle each with 1/2 teaspoon olive oil.', 'Bake in the preheated oven until cheese is browned and bubbly and chicken breasts are no longer pink in the center, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).']","{'Calories': '471', 'Fat': '25g', 'Carbs': '25g', 'Protein': '42g'}"
Chef John's Chicken and Dumplings,4.6,4,2 hrs,"['1 (3 to 3 1/2 pound) whole chicken', '2 ½ quarts cold water', '1 large carrot, cubed', '1 stalk celery, chopped', '1  onion, chopped', '3 sprigs fresh thyme', '1  bay leaf', '2 tablespoons all-purpose flour, or as needed', 'salt and freshly ground black pepper to taste', '½ teaspoon cayenne pepper, or more to taste', '½ cup creme fraiche', '½ cup milk', '2 teaspoons chopped fresh thyme leaves', '2  eggs', '2 cups self-rising flour', '4 sprigs thyme, for garnish']","Not only is this chicken and dumpling recipe American and classic, it is also one of the most comforting things you'll ever eat. The great thing about this dumpling recipe is that it will work on just about any soup or stew!","['Place chicken in a Dutch oven. Add water, carrot, celery, onion, 3 sprigs of thyme, and bay leaf. Bring to a boil, cover, reduce heat to low, and simmer for 1 hour. Remove chicken from dutch oven and transfer to a bowl; set aside to cool.', 'Increase heat and bring the stock to a simmer. Skim off any chicken fat that appears on top of the stock and reserve in a bowl. Combine 2 to 3 tablespoons of the reserved fat with flour in a small bowl; stir to make a paste, adding more flour if needed. Add the chicken fat and flour mixture to the stock. Reduce heat and simmer for 15 minutes.', 'Remove chicken meat from the carcass and add to the stock. Season with salt, black pepper, and cayenne pepper to taste. Continue simmering for 10 to 15 minutes.', 'Whisk creme fraiche, milk, 2 teaspoons of thyme leaves, and eggs together in a large bowl. Stir in self-rising flour until almost entirely incorporated; do not overmix.', 'Scoop large dollops of dumpling mixture on top of the chicken stock. Increase heat slightly to medium-high. Cover and simmer until dumplings appear light and fluffy, and a toothpick inserted into the center comes out clean, 10 to 15 minutes. Serve garnish with thyme sprigs.']","{'Calories': '750', 'Fat': '37g', 'Carbs': '60g', 'Protein': '44g'}"
Chicken Stir Fry,4.7,6,40 mins,"['4 cups water', '2 cups white rice', '⅔ cup low-sodium soy sauce, or to taste', '¼ cup brown sugar', '1 tablespoon cornstarch', '1 tablespoon minced fresh ginger', '1 tablespoon minced garlic', '¼ teaspoon red chili flakes', '3  skinless, boneless chicken breast halves, thinly sliced', '2 tablespoons sesame oil, divided', '1 head broccoli, broken into florets', '1  onion, cut into large chunks', '1 cup sliced carrots', '1 (8 ounce) can sliced water chestnuts, drained', '1  green bell pepper, cut into matchsticks']","This chicken stir fry recipe is packed with veggies and a delicious sweet and savory soy, ginger, and garlic sauce that gets a kick from chili flakes. Serve with white or brown rice for a quick and easy weeknight dinner.","['Gather all ingredients.', 'Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 20 to 25 minutes.', 'Meanwhile, combine soy sauce, brown sugar, and cornstarch in a medium glass or ceramic bowl; stir until smooth.', 'Stir in ginger, garlic, and red pepper flakes; add chicken and stir to coat. Cover and marinate in the refrigerator for at least 15 minutes.', 'Heat 1 tablespoon sesame oil in a wok or large skillet over medium-high heat. Add broccoli, onion, carrots, water chestnuts, and bell pepper; cook and stir until just tender, about 5 minutes.', 'Transfer vegetables into a dish; set aside.', 'Heat remaining 1 tablespoon sesame oil in the same wok or skillet over medium-high heat. Add chicken, reserving marinade, and cook until just browned, about 2 minutes per side.', 'Stir in vegetables and reserved marinade. Bring to a boil; cook and stir until chicken is no longer pink in the center and vegetables are tender, 5 to 7 minutes.', 'Serve over rice.']","{'Calories': '344', 'Fat': '7g', 'Carbs': '45g', 'Protein': '25g'}"
Chicken Enchiladas with Cream of Chicken Soup,4.6,8,45 mins,"['1 (10.5 ounce) can condensed cream of chicken soup', '½ cup sour cream', '1 tablespoon margarine', '1  onion, chopped', '1 teaspoon chili powder', '2 cups chopped cooked chicken breast', '1 (4 ounce) can chopped green chile peppers, drained', '8  (8 inch) flour tortillas', '1 cup shredded Cheddar cheese']","For this chicken enchilada recipe with cream of chicken soup, spicy chicken and chile peppers are rolled up in flour tortillas and baked with Cheddar cheese on top. This is an easy, comforting dish that you will love.","['Preheat the oven to 350 degrees F (175 degrees C).', 'Mix soup and sour cream in a small bowl; set aside.', 'Melt margarine in a medium saucepan over medium-high heat. Add onion and chili powder, and sauté until tender. Stir in chicken, chile peppers, and 2 tablespoons of the soup mixture. Cook and stir until heated through.', 'Spread 1/2 cup of the soup mixture in a 9x13-inch baking dish. Spoon about 1/4 cup of the chicken mixture down the center of each tortilla. Roll up tortillas and place, seam-sides-down, in the baking dish. Spoon remaining soup mixture on top, and sprinkle with cheese.', 'Bake in the preheated oven until bubbly and lightly browned, about 25 minutes.']","{'Calories': '352', 'Fat': '17g', 'Carbs': '31g', 'Protein': '19g'}"
Caprese Chicken,4.6,4,4 hrs 30 mins,"['4 (6 ounce) skinless, boneless chicken breast halves', '1 cup Italian salad dressing', '1 tablespoon Italian herb seasoning', '1 tablespoon chicken seasoning (such as Grill Mates® Montreal Chicken Seasoning)', '2 tablespoons canola oil', '4 (1/2 inch thick) slices fresh mozzarella cheese', '4 (1/2 inch thick) slices tomato', '4 large fresh basil leaves', '1 tablespoon balsamic vinegar']",I love caprese salad and I'm always trying to find new ways to make chicken dishes and eat a bit healthier. Plus the basil in my garden is growing out of control! Everyone who's made it raves about it and makes it again and again!,"['Place chicken breasts, Italian salad dressing, Italian herb seasoning, and chicken seasoning into a resealable plastic bag, knead bag several times to coat chicken with marinade, and squeeze air from the bag. Seal and refrigerate 4 to 6 hours.', 'Preheat oven to 500 degrees F (260 degrees C).', 'Pour canola oil into a large cast iron or ovenproof skillet over medium-high heat. Heat the oil until a small droplet of water pops in the oil. Remove chicken breasts from marinade and discard used marinade. Place chicken breasts into hot oil, fry for 2 minutes, and flip chicken.', 'Place skillet into the preheated oven and bake until chicken is no longer pink inside and the juices run clear, about 12 minutes. Top each chicken breast with a slice of mozzarella cheese and a tomato slice.', 'Return to oven and bake until cheese has melted, 3 to 5 minutes. Transfer chicken breasts to a serving platter and top each with a basil leaf and a drizzle of balsamic vinegar.']","{'Calories': '583', 'Fat': '40g', 'Carbs': '11g', 'Protein': '44g'}"
Creamy Chicken Cordon Bleu Casserole,4.6,8,55 mins,"['1 (8 ounce) package wide egg noodles', '2 cups chopped cooked chicken breast', '8 ounces cooked ham, cubed', '8 ounces Swiss cheese, cubed', '1 (10.5 ounce) can reduced-fat, reduced-sodium cream of chicken soup', '1/2 cup 2% milk', '1/2 cup light sour cream', '2 tablespoons butter', '1/3 cup seasoned bread crumbs', '1/4 cup grated Parmesan cheese']",This chicken Cordon Bleu casserole has all the creamy and wonderful flavor of the traditional dish with a little of the fat and hassle removed.,"['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch casserole dish.', 'Bring a large pot of lightly salted water to a boil. Cook egg noodles in boiling water, stirring occasionally, until tender yet firm to the bite, 7 to 9 minutes. Drain and transfer noodles to the prepared casserole dish.', 'Top noodles with chicken, ham, and Swiss cheese.', 'Mix together condensed soup, milk, and sour cream in a medium bowl until combined; spoon over noodle mixture in the casserole dish.', 'Melt butter in a skillet over medium heat; cook and stir bread crumbs and Parmesan cheese in hot butter until crumbs are well coated, 2 to 3 minutes. Sprinkle over casserole.', 'Bake in the preheated oven until casserole is bubbling and lightly browned, about 30 minutes.', 'Allow to cool slightly before serving.']","{'Calories': '455', 'Fat': '24g', 'Carbs': '30g', 'Protein': '30g'}"
Baked Split Chicken Breast,4.7,2,1 hr 40 mins,"['2  large bone-in chicken breast halves with skin', '¼ cup extra-virgin olive oil', '½ teaspoon garlic, minced', '½ teaspoon coarse sea salt', '½ teaspoon cracked black pepper', '¼ teaspoon dried rosemary', '¼ teaspoon dried basil']","This is a very easy, but elegant, baked chicken breast recipe that looks like you've spent hours in the kitchen when you've barely lifted a finger! It's easy to scale up this recipe for more guests — the prep time is minimal regardless of whether you make 2 breasts or 20.","['Gather all ingredients.', 'Rub chicken breasts with olive oil and garlic; sprinkle with salt, black pepper, rosemary, and basil. Arrange chicken in a large baking dish.', 'Refrigerate for at least 45 minutes. Meanwhile, preheat the oven to 375 degrees F (190 degrees C).', 'Bake in the preheated oven until chicken meat is no longer pink at the bone and the juices run clear, 45 to 60 minutes. An instant-read thermometer inserted in the thickest part of the breast meat should read 165 degrees F (75 degrees C).', 'Serve hot and enjoy!']","{'Calories': '615', 'Fat': '42g', 'Carbs': '1g', 'Protein': '55g'}"
Healthy Mexican Chicken Bake,4.7,4,45 mins,"['2 tablespoons vegetable oil', '4  boneless, skinless chicken breasts', '1 teaspoon ground cumin', '1 teaspoon garlic powder', 'salt and ground black pepper to taste', '4 ounces shredded Mexican cheese blend', '1 cup salsa']","This Mexican chicken bake is a high-protein, low-calorie meal that leaves you full. It's so flavorful. Goes great with cornbread and/or a side of refried beans. You can use whatever Mexican spices you want. We love cumin!","['Preheat the oven to 350 degrees F (175 degrees C).', 'Heat vegetable oil in a large skillet over medium heat. Season one side of chicken breasts with 1/2 of the cumin, 1/2 of the garlic powder, salt, and black pepper; arrange chicken breasts seasoned-side down in hot oil. Fry until chicken is lightly browned on the bottom, 4 to 5 minutes.', 'Season the top of each chicken breast with remaining cumin, remaining garlic powder, salt, and black pepper; flip chicken and cook until other side is lightly browned, 4 to 5 minutes. If the skillet gets dry, pour in just enough salsa juice to keep it from burning.', 'Transfer chicken breasts to a 9-inch square baking dish; sprinkle with Mexican cheese blend. Loosen drippings from the skillet with a little more salsa juice and pour on top of chicken breasts. Spoon salsa over cheese layer.', 'Bake chicken breasts until no longer pink in the center and the juices run clear, 20 to 25 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).']","{'Calories': '321', 'Fat': '19g', 'Carbs': '6g', 'Protein': '32g'}"
Natasha's Chicken Burgers,4.8,4,20 mins,"['1 pound extra-lean ground chicken', '½ cup Italian-seasoned bread crumbs, divided', '½ small onion, finely grated', '1 large egg', '2 cloves garlic, minced', 'salt and ground black pepper to taste', '2 teaspoons olive oil']","A chicken burger the whole family enjoys! Natasha is my eldest daughter, and her eyes light up when I announce we're having these for dinner. The onion can be finely chopped, but with three kids, we prefer grating it so as to hide it. I usually serve these with mashed potatoes and Caesar salad for a very comforting meal!","['Gather all ingredients.', 'Mix ground chicken, 1/4 cup bread crumbs, onion, egg, and garlic in a bowl. Season with salt and pepper.', 'Moisten hands and shape chicken mixture, 2 tablespoons at a time, into flat, oval-shaped patties.', 'Spread remaining 1/4 cup bread crumbs in a shallow dish; dip patties in bread crumbs to coat.', 'Heat olive oil in a large skillet over medium-high heat.', 'Cook patties in hot oil until golden and well browned on the bottoms, 5 to 6 minutes.', 'Turn patties and cook until other sides are browned, 3 to 4 minutes more. Serve and enjoy!']","{'Calories': '238', 'Fat': '8g', 'Carbs': '12g', 'Protein': '29g'}"
